GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2010;Egne aksjer (negativt beløp);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2020;Overkurs;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2030;Annen innskutt egenkapital;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2045;Fond for urealiserte gevinster;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2055;Avsatt utbytte (jf. IFRS);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2059;Annen egenkapital / Felleseid andelskapital;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2080;Udekket tap;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2120;Utsatt skatt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2130;Derivater;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2160;Uopptjent inntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2185;Avsetninger for fjerning- og nedstengningsforpliktelser;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2189;Andre avsetninger for forpliktelser;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2200;Konvertible lån;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2210;Obligasjonslån;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2220;Gjeld til kredittinstitusjoner;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2260;Gjeld til selskap i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2290;Annen langsiktig gjeld;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2310;Konvertible lån;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2320;Obligasjonslån;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2330;Derivater;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2380;Gjeld til kredittinstitusjoner;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2400;Leverandørgjeld;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2460;Leverandørgjeld til selskap i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2470;Meruttak av petroleumsprodukter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2500;Betalbar skatt, ikke fastsatt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2510;Betalbar skatt, fastsatt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2600;Skattetrekk og andre trekk;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2740;Skyldig merverdiavgift;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2770;Skyldig arbeidsgiveravgift;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2790;Andre offentlige avgifter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2800;Avsatt utbytte;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2900;Forskudd fra kunder;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2920;Gjeld til selskap i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2949;Lønn, feriepenger o.l.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2950;Påløpt rente;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2970;Uopptjent inntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2980;Avsetninger for forpliktelser;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2990;Annen kortsiktig gjeld;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3001;Salgsinntekter og uttak av olje;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3002;Salgsinntekter og uttak av tørrgass;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3003;Salgsinntekter og uttak av våtgass;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3004;Tariff inntekt rørledning;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3005;Tariff inntekt prosessering;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3006;Timer viderefakturert;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3007;Annen kostnad viderefakturert;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3400;Offentlig tilskudd;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3500;Endring uopptjent inntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3600;Leieinntekt fast eiendom;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3695;Annen leieinntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3850;Verdiendring investeringseiendommer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3880;Gevinst ved avgang av immatr. eiendeler og varige driftsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3885;Gevinst ved avgang av finansielle anleggsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;3900;Annen driftsrelatert inntekt ;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4001;Letekostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4002;Utbyggingskostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4003;Produksjonskostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4004;Handling fee/ Service fee/ Trading fee;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4006;Annen varekostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4007;Endring i mer-/mindre uttak av petroleumsprodukter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4008;Fjernings- og nedstengningskostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;4295;Beholdn.endring av varer under tilvirkning og ferdig tilv. varer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;5000;Lønn, feriepenger mv.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;5300;Annen opplysningspliktig godtgjørelse;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;5400;Arbeidsgiveravgift;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;5420;Opplysningspliktig pensjonskostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;5900;Annen personalkostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6001;Avskriving på produksjonsinnretning og rørledning;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6002;Avskriving på fjernings- og nedstengningseiendeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6004;Annen avskriving;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6051;Nedskriving på produksjonsinnretning og rørledning;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6052;Nedskriving på aktiverte letekostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6053;Nedskriving på anlegg under utførelse;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6054;Annen nedskriving;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6110;Frakt og transportkostnad vedrørende salg av olje;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6120;Frakt og transportkostnad vedrørende salg av tørrgass;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6130;Frakt og transportkostnad vedrørende salg av LNG;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6140;Frakt og transportkostnad vedrørende salg av våtgass;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6310;Leie lokale, lys, varme, renovasjon, vann, avløp, renhold mv.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6350;IT kostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6400;Leie maskiner, inventar, transportmidler o.l.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6500;Verktøy, inventar mv som ikke er aktivert;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6600;Reparasjon og vedlikehold bygning;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6695;Reparasjon og annen vedlikehold;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6700;Fremmed tjeneste (regnskap rev.hon., rådgivning o.l.);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;6750;Konserntjenester;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7155;Reise-, diett- og bilgodtgjørelse (opplysningspliktig);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7165;Reise- og diettkostnader (ikke opplysningspliktig);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7295;Provisjonskostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7330;Salgs- og reklamekostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7370;Representasjonskostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7490;Kontingenter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7501;Driftsforsikring;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7502;Utbyggingsforsikring;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7503;Annen forsikring;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7565;Garanti- og servicekostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7600;Lisens, patentkostnad, royalty o.l.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7650;Forskning og utviklingskostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7651;Tilskudd til vitenskapelig forskning mv jf sktl § 6-42;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7700;Annen kostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7880;Tap ved avgang av immatr. Eiendeler og varige driftsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7885;Tap ved avgang av finansielle anleggsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;7830;Tap på fordringer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8005;Netto positiv resultatandel vedr. invest. i DS, TS og FKV;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8030;Renteinntekt fra foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8050;Annen renteinntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8054;Garantiinntekter fra foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8059;Garantiinntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8060;Valutagevinst (agio);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8074;Gevinst v/realisasjon av aksjer, egenkap.bevis og fondsandeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8075;Finansinntekt fra foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8079;Annen finansinntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8080;Verdiøkn. av finans. instrumenter vurd. til virkelig verdi;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8090;Inntekter av andre investeringer/utbytte;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8006;Netto neg. resultatandel vedr. investering i DS, TS og FKV;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8100;Verdired. av finans. instrumenter vurd. til virkelig verdi;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8115;Nedskrivning av finansielle eiendeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8120;Kalkulatorisk rente fjerning- og nedstengningsforpliktelse;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8130;Rentekostnader til foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8150;Annen rentekostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8154;Garantikostnad til foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8159;Annen garantikostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8160;Valutatap (disagio);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8174;Tap ved realisasjon av aksjer, egenkap.bevis og fondsandeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8175;Finanskostnader til foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8179;Annen finanskostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8300;Betalbar skatt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8320;Endring utsatt skatt/skattefordel;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;9150;Ordinært resultat;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8400;Ekstraordinær inntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8500;Ekstraordinær kostnad;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8600;Betalbar skatt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8620;Endring utsatt skatt/skattefordel;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;8910;Andre resultatkomponenter for IFRS-foretak;NA
