GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA;KOSTRA Arts;520;UTLÅN
KA;KOSTRA Arts;521;KONSERNINTERNE UTLÅN
KA;KOSTRA Arts;529;KJØP AV AKSJER OG ANDELER
KA;KOSTRA Arts;530;DEKNING AV TIDLIGERE ÅRS REGNSKAPSMESSIGE MERFORBRUK/DEKNING AV TIDLIGERE ÅRS UDEKKET
KA;KOSTRA Arts;540;AVSETNINGER TIL DISPOSISJONSFOND
KA;KOSTRA Arts;548;AVSETNINGER TIL UBUNDNE INVESTERINGSFOND
KA;KOSTRA Arts;550;AVSETNINGER TIL BUNDNE FOND
KA;KOSTRA Arts;570;OVERFØRING TIL INVESTERINGSREGNSKAPET
KA;KOSTRA Arts;580;REGNSKAPSMESSIG MINDREFORBRUK/UDISPONERT
KA;KOSTRA Arts;590;AVSKRIVNINGER
KA;KOSTRA Arts;600;BRUKERBETALING FOR KOMMUNALE TJENESTER
KA;KOSTRA Arts;620;ANNET SALG AV VARER OG TJENESTER, GEBYRER O.L. UTENFOR AVGIFTSOMRÅDET
KA;KOSTRA Arts;629;BILLETTINNTEKTER
KA;KOSTRA Arts;630;HUSLEIEINNTEKTER, FESTEAVGIFTER, UTLEIE AV LOKALER
KA;KOSTRA Arts;640;AVGIFTSPLIKTIGE GEBYRER
KA;KOSTRA Arts;650;ANNET AVGIFTSPLIKTIG SALG AV VARER OG TJENESTER
KA;KOSTRA Arts;660;SALG AV DRIFTSMIDLER
KA;KOSTRA Arts;670;SALG AV FAST EIENDOM
KA;KOSTRA Arts;690;FORDELTE UTGIFTER/INTERNSALG
KA;KOSTRA Arts;700;REFUSJON FRA STATEN
KA;KOSTRA Arts;710;SYKELØNNSREFUSJON
KA;KOSTRA Arts;729;KOMPENSASJON FOR MERVERDIAVGIFT
KA;KOSTRA Arts;730;REFUSJON FRA FYLKESKOMMUNER
KA;KOSTRA Arts;750;REFUSJON FRA KOMMUNER
KA;KOSTRA Arts;770;REFUSJON FRA ANDRE (PRIVATE)
KA;KOSTRA Arts;775;SALG TIL IKS DER KOMMUNEN/FYLKESKOMMUNEN ER DELTAGER
KA;KOSTRA Arts;780;SALG TIL (FYLKES)KOMMUNALT FORETAK I EGEN KOMMUNE / FYLKESKOMMUNE
KA;KOSTRA Arts;800;RAMMETILSKUDD
KA;KOSTRA Arts;810;ANDRE STATLIGE OVERFØRINGER
KA;KOSTRA Arts;830;OVERFØRING FRA FYLKESKOMMUNER
KA;KOSTRA Arts;850;OVERFØRING FRA KOMMUNER
KA;KOSTRA Arts;870;SKATT PÅ INNTEKT OG FORMUE
KA;KOSTRA Arts;874;EIENDOMSSKATT ANNEN EIENDOM
KA;KOSTRA Arts;875;EIENDOMSSKATT BOLIGER OG FRITIDSBOLIGER
KA;KOSTRA Arts;877;ANDRE DIREKTE OG INDIREKTE SKATTER
KA;KOSTRA Arts;880;OVERFØRINGER FRA (FYLKES)KOMMUNALT FORETAK EGEN KOMMUNE/FYLKESKOMMUNE
KA;KOSTRA Arts;890;OVERFØRINGER FRA ANDRE (PRIVATE)
KA;KOSTRA Arts;895;OVERFØRING FRA IKS DER KOMMUNEN/FYLKESKOMMUNEN ER DELTAGER
KA;KOSTRA Arts;900;RENTEINNTEKTER
KA;KOSTRA Arts;901;KONSERNINTERNE RENTEINNTEKTER
KA;KOSTRA Arts;905;UTBYTTE OG EIERUTTAK
KA;KOSTRA Arts;909;GEVINST FINANSIELLE INSTRUMENTER
KA;KOSTRA Arts;910;BRUK AV LÅN
KA;KOSTRA Arts;911;BRUK AV KONSERNINTERNE LÅN
KA;KOSTRA Arts;920;MOTTATTE AVDRAG PÅ UTLÅN
KA;KOSTRA Arts;921;MOTTATTE AVDRAG PÅ KONSERNINTERNE LÅN
KA;KOSTRA Arts;929;SALG AV AKSJER OG ANDELER
KA;KOSTRA Arts;930;BRUK AV TIDLIGERE ÅRS REGNSKAPSMESSIGE MINDREFORBRUK/BRUK AV TIDLIGERE ÅRS UDISPONERT
KA;KOSTRA Arts;940;BRUK AV DISPOSISJONSFOND
KA;KOSTRA Arts;948;BRUK AV UBUNDNE INVESTERINGSFOND
KA;KOSTRA Arts;950;BRUK AV BUNDNE DRIFTSFOND
KA;KOSTRA Arts;958;BRUK AV BUNDNE INVESTERINGSFOND
KA;KOSTRA Arts;970;OVERFØRINGER FRA DRIFTSREGNSKAPET
KA;KOSTRA Arts;980;REGNSKAPSMESSIG MERFORBRUK/UDEKKET
KA;KOSTRA Arts;990;MOTPOST AVSKRIVNINGER
